cdc_campus	denominator	BothAlllevelstoDidNotMeet_1	BothAlllevelstoApproaches1	BothAlllevelstoMeets_1	BothAlllevelstoMasters_NA	year_growth_num	year_growth_rate
015904107	319	12	68	65	93	238	0.746081504702194
015904108	433	43	80	91	111	325	0.750577367205543
015904109	230	17	33	39	58	147	0.639130434782609
015904110	229	26	49	34	38	147	0.641921397379913
015904113	220	18	34	34	62	148	0.672727272727273
015904114	305	33	73	44	52	202	0.662295081967213
015904115	2	0	0	0	2	2	1
015904116	265	22	56	44	58	180	0.679245283018868
015905002	425	38	45	91	40	214	0.503529411764706
015905003	482	49	45	123	79	296	0.614107883817427
015905015	77	0	1	21	20	42	0.545454545454545
015905041	997	83	135	119	116	453	0.454363089267803
015905044	1087	120	135	132	122	509	0.468261269549218
015905046	1262	124	195	148	140	607	0.480982567353407
015905104	280	15	59	49	53	176	0.628571428571429
015905106	230	36	39	19	27	121	0.526086956521739
015905108	252	29	65	31	28	153	0.607142857142857
015905109	316	45	75	28	27	175	0.55379746835443
015905110	257	64	47	29	19	159	0.618677042801556
015905112	316	36	55	20	27	138	0.436708860759494
015905113	310	42	69	29	26	166	0.535483870967742
015905114	249	39	57	19	32	147	0.590361445783133
015905116	275	47	52	15	24	138	0.501818181818182
015905117	266	48	60	31	33	172	0.646616541353383
015906001	164	1	5	59	18	83	0.50609756097561
015906041	569	5	45	120	216	386	0.678383128295255
015906101	309	3	24	52	172	251	0.812297734627832
015907001	570	55	68	170	79	372	0.652631578947368
015907002	393	50	39	85	31	205	0.521628498727735
015907003	596	65	55	157	40	317	0.531879194630873
015907004	145	4	10	62	19	95	0.655172413793103
015907005	497	52	48	118	73	291	0.585513078470825
015907006	348	39	27	66	35	167	0.479885057471264
015907007	574	67	68	167	46	348	0.606271777003484
015907008	605	84	60	137	58	339	0.560330578512397
015907022	115	0	3	47	29	79	0.68695652173913
015907023	524	0	7	81	264	352	0.67175572519084
015907024	5	3	2	0	0	5	1
015907025	119	3	10	51	18	82	0.689075630252101
015907026	751	46	154	126	150	476	0.633821571238349
015907027	169	7	9	62	14	92	0.544378698224852
015907030	23	3	2	0	0	5	0.217391304347826
015907043	966	152	221	94	117	584	0.604554865424431
015907047	1388	132	249	180	108	669	0.481988472622478
015907049	395	35	109	85	94	323	0.817721518987342
015907050	1617	207	345	182	182	916	0.566481137909709
015907051	622	96	127	70	46	339	0.545016077170418
015907053	126	37	27	19	8	91	0.722222222222222
015907054	761	115	147	85	52	399	0.52431011826544
015907055	1105	135	187	135	128	585	0.529411764705882
015907057	762	116	132	63	73	384	0.503937007874016
015907059	1391	128	288	215	197	828	0.595255212077642
015907061	754	147	196	95	60	498	0.660477453580902
015907064	13	4	0	0	0	4	0.307692307692308
015907101	284	26	56	48	57	187	0.658450704225352
015907103	603	69	115	63	75	322	0.533996683250415
015907105	250	19	39	30	60	148	0.592
015907106	369	40	79	38	35	192	0.520325203252033
015907107	516	56	93	59	89	297	0.575581395348837
015907110	393	56	65	42	43	206	0.524173027989822
015907112	286	39	82	44	44	209	0.730769230769231
015907114	188	22	41	30	34	127	0.675531914893617
015907116	309	38	81	45	44	208	0.673139158576052
015907117	401	54	83	59	82	278	0.693266832917706
015907118	523	76	133	61	55	325	0.621414913957935
015907119	299	44	41	28	44	157	0.525083612040134
015907121	354	59	93	36	44	232	0.655367231638418
015907123	346	49	65	38	47	199	0.57514450867052
015907124	244	27	48	39	43	157	0.64344262295082
015907125	488	68	115	62	58	303	0.620901639344262
015907126	238	16	37	31	54	138	0.579831932773109
015907127	166	17	35	23	44	119	0.716867469879518
015907129	443	48	99	83	91	321	0.724604966139955
015907131	226	45	46	19	30	140	0.619469026548673
015907132	307	33	57	29	32	151	0.49185667752443
015907134	338	27	87	71	84	269	0.79585798816568
015907135	251	28	43	46	80	197	0.784860557768924
015907136	300	54	72	44	43	213	0.71
015907137	397	86	88	44	41	259	0.652392947103275
015907139	220	42	36	14	25	117	0.531818181818182
015907140	188	31	54	19	14	118	0.627659574468085
015907141	972	99	221	141	140	601	0.618312757201646
015907142	368	60	88	75	42	265	0.720108695652174
015907143	138	13	41	27	25	106	0.768115942028985
015907144	377	59	99	35	51	244	0.647214854111406
015907146	189	24	39	28	25	116	0.613756613756614
015907147	429	74	91	35	39	239	0.557109557109557
015907148	310	50	64	50	35	199	0.641935483870968
015907149	442	56	98	69	58	281	0.635746606334842
015907150	306	44	55	34	46	179	0.584967320261438
015907153	141	21	37	18	23	99	0.702127659574468
015907155	239	33	44	37	45	159	0.665271966527197
015907157	555	103	103	52	55	313	0.563963963963964
015907158	313	73	67	38	30	208	0.664536741214057
015907160	294	29	60	37	51	177	0.602040816326531
015907161	689	70	146	86	71	373	0.541364296081277
015907162	412	54	116	65	60	295	0.716019417475728
015907163	53	1	3	7	26	37	0.69811320754717
015907164	271	20	52	56	73	201	0.74169741697417
015907165	160	23	20	20	25	88	0.55
015907168	207	44	47	14	19	124	0.599033816425121
015907169	181	45	29	5	9	88	0.486187845303867
015907172	249	36	53	38	51	178	0.714859437751004
015907174	260	28	52	24	49	153	0.588461538461538
015907175	713	98	143	89	110	440	0.61711079943899
015907176	298	40	71	37	32	180	0.604026845637584
015907177	511	18	88	98	144	348	0.681017612524462
015907179	875	78	176	150	114	518	0.592
015907182	8	0	0	0	1	1	0.125
015907210	581	59	100	121	123	403	0.693631669535284
015908001	1023	63	75	317	143	598	0.58455522971652
015908041	1097	123	200	130	103	556	0.506836827711942
015908042	966	101	198	137	101	537	0.555900621118012
015908044	1291	155	251	196	169	771	0.59721146398141
015908104	314	45	69	35	37	186	0.592356687898089
015908105	222	33	63	28	42	166	0.747747747747748
015908106	323	51	98	39	50	238	0.736842105263158
015908107	343	34	68	48	65	215	0.626822157434402
015908108	246	40	50	28	31	149	0.605691056910569
015908109	299	40	86	43	51	220	0.735785953177257
015908110	250	40	49	24	30	143	0.572
015908112	234	44	50	28	28	150	0.641025641025641
015908113	380	53	83	55	58	249	0.655263157894737
015909001	260	39	34	65	12	150	0.576923076923077
015909006	35	1	2	13	2	18	0.514285714285714
015909041	1204	139	255	187	222	803	0.666943521594684
015909101	289	19	47	56	102	224	0.775086505190311
015909104	203	18	38	25	45	126	0.620689655172414
015909105	1057	72	143	92	131	438	0.41438032166509
015910001	897	70	45	284	161	560	0.624303232998885
015910002	871	43	48	250	190	531	0.609644087256028
015910003	948	50	38	291	104	483	0.509493670886076
015910004	937	73	62	238	105	478	0.510138740661686
015910005	1267	64	68	381	197	710	0.560378847671665
015910007	1109	20	19	369	317	725	0.653742110009017
015910009	148	2	7	44	34	87	0.587837837837838
015910014	1036	14	28	279	364	685	0.661196911196911
015910041	1751	114	330	252	375	1071	0.611650485436893
015910042	1578	112	314	275	303	1004	0.636248415716096
015910043	1687	135	249	237	438	1059	0.627741553052756
015910044	2212	172	346	323	394	1235	0.558318264014466
015910045	1236	67	254	218	242	781	0.631877022653722
015910046	1894	175	254	231	436	1096	0.578669482576558
015910047	1503	145	264	223	203	835	0.555555555555556
015910048	2287	69	264	372	713	1418	0.620026235242676
015910049	1379	68	233	230	290	821	0.595358955765047
015910050	2052	30	164	320	943	1457	0.710038986354776
015910056	2099	41	182	364	873	1460	0.695569318723201
015910057	2335	28	119	307	1238	1692	0.724625267665953
015910058	1988	83	299	343	465	1190	0.598591549295775
015910059	2040	32	192	341	787	1352	0.662745098039216
015910101	290	9	47	47	93	196	0.675862068965517
015910102	466	21	60	67	128	276	0.592274678111588
015910103	366	53	64	45	62	224	0.612021857923497
015910104	230	23	45	38	48	154	0.669565217391304
015910105	372	34	86	60	90	270	0.725806451612903
015910106	311	38	61	43	42	184	0.591639871382637
015910107	465	59	106	57	89	311	0.668817204301075
015910108	411	62	98	68	50	278	0.67639902676399
015910109	247	13	27	35	82	157	0.635627530364372
015910110	184	29	24	15	26	94	0.510869565217391
015910111	326	26	56	66	95	243	0.745398773006135
015910112	328	19	74	48	61	202	0.615853658536585
015910113	222	37	53	25	31	146	0.657657657657658
015910114	337	38	88	61	48	235	0.697329376854599
015910115	188	42	47	28	23	140	0.74468085106383
015910116	166	14	39	27	36	116	0.698795180722892
015910117	374	48	82	55	58	243	0.649732620320856
015910118	303	35	75	51	55	216	0.712871287128713
015910119	221	40	47	24	27	138	0.624434389140272
015910120	291	23	69	38	43	173	0.594501718213058
015910121	358	47	93	40	57	237	0.662011173184358
015910122	286	57	49	24	26	156	0.545454545454545
015910123	346	5	42	38	196	281	0.812138728323699
015910124	429	69	80	51	67	267	0.622377622377622
015910125	514	65	109	56	95	325	0.632295719844358
015910126	464	49	75	69	133	326	0.702586206896552
015910127	402	36	95	48	81	260	0.646766169154229
015910128	239	11	32	46	74	163	0.682008368200837
015910129	398	1	20	50	203	274	0.688442211055276
015910130	416	15	69	70	147	301	0.723557692307692
015910131	224	6	32	39	79	156	0.696428571428571
015910133	499	13	47	76	200	336	0.673346693386774
015910134	375	15	47	57	151	270	0.72
015910135	387	12	60	71	146	289	0.746770025839793
015910136	527	4	30	63	337	434	0.823529411764706
015910137	388	30	76	74	77	257	0.662371134020619
015910138	339	42	77	53	57	229	0.675516224188791
015910139	466	6	47	58	226	337	0.723175965665236
015910140	347	9	29	56	169	263	0.757925072046109
015910141	558	29	73	86	173	361	0.646953405017921
015910142	672	20	89	82	315	506	0.75297619047619
015910143	390	2	20	46	240	308	0.78974358974359
015910144	482	12	49	79	216	356	0.738589211618257
015910145	624	12	54	83	311	460	0.737179487179487
015910146	280	2	33	38	126	199	0.710714285714286
015910147	452	14	45	44	236	339	0.75
015911001	1197	107	98	288	71	564	0.471177944862155
015911042	1286	190	263	156	171	780	0.606531881804043
015911043	2209	193	364	288	275	1120	0.50701674966048
015911044	2168	200	319	204	197	920	0.424354243542435
015911108	424	53	99	42	71	265	0.625
015911110	951	115	206	113	166	600	0.630914826498423
015912001	539	47	47	155	29	278	0.515769944341373
015912005	513	77	50	157	23	307	0.598440545808967
015912006	9	0	0	1	1	2	0.222222222222222
015912041	1378	81	155	177	250	663	0.481132075471698
015912042	1371	142	244	163	123	672	0.490153172866521
015912044	1654	75	232	232	314	853	0.515719467956469
015912045	1595	126	227	256	293	902	0.56551724137931
015912101	383	31	66	54	108	259	0.676240208877285
015912102	346	37	60	44	99	240	0.69364161849711
015912103	403	45	84	70	80	279	0.692307692307692
015912104	286	37	50	59	72	218	0.762237762237762
015912105	361	17	75	55	86	233	0.645429362880886
015912106	345	64	70	56	58	248	0.718840579710145
015912107	374	12	67	70	132	281	0.751336898395722
015912108	388	22	67	64	108	261	0.672680412371134
015912109	352	26	56	48	89	219	0.622159090909091
015912110	292	39	66	34	41	180	0.616438356164384
015912111	356	31	71	49	98	249	0.699438202247191
015913001	400	4	51	106	95	256	0.64
015913101	252	11	39	30	96	176	0.698412698412698
015914001	609	17	70	145	175	407	0.668308702791461
015914101	326	11	58	39	113	221	0.677914110429448
015915001	1120	87	100	358	207	752	0.671428571428571
015915002	1076	80	78	274	114	546	0.507434944237918
015915003	989	45	74	320	193	632	0.639029322548028
015915005	997	34	51	322	217	624	0.625877632898696
015915006	268	0	0	61	142	203	0.757462686567164
015915007	966	37	43	318	179	577	0.597308488612836
015915016	1280	26	51	441	404	922	0.7203125
015915019	1244	54	88	417	258	817	0.656752411575563
015915022	1193	74	71	367	132	644	0.539815590947192
015915023	1050	22	49	356	231	658	0.626666666666667
015915024	1030	34	62	352	252	700	0.679611650485437
015915025	1013	29	46	324	294	693	0.684106614017769
015915041	1836	123	396	314	305	1138	0.619825708061002
015915042	1757	152	311	270	222	955	0.543540125213432
015915043	2105	130	348	319	351	1148	0.545368171021378
015915044	1785	167	332	238	172	909	0.509243697478992
